"adat_SINs" "RedCap_SINs"
"295" "STEP1664-F-V1-HT1" "STEP1664-V1-F-HT1"
"296" "STEP2358-F-V1-HT1" "STEP2358-V1-F-HT1"
"297" "STEP2591-F-V6-R-HT1" "STEP2591-V6-F-R-HT1"
"298" "STEP1418-F-V1-HT1" "STEP1418-V1-F-HT1"
"300" "STEP2081-F-V1-L-HT1" "STEP2081-V1-F-L-HT1"
"301" "STEP2591-F-V6-L-HT1" "STEP2591-V6-F-L-HT1"
"302" "STEP1355-F-V1-HT1" "STEP1355-V1-F-HT1"
"303" "STEP1833-F-V3-HT1" "STEP1833-V3-F-HT1"
"305" "STEP1804-F-V1-HT1" "STEP1804-V1-F-HT1"
"306" "STEP2044-F-V1-R-HT1" "STEP2044-V1-F-R-HT1"
"307" "STEP1591-F-V1-HT1" "STEP1591-V1-F-HT1"
"308" "STEP1645-F-V1-HT1" "STEP1645-V1-F-HT1"
"309" "STEP1326-F-V1-HT1" "STEP1326-V1-F-HT1"
"310" "STEP1566-F-V1-HT1" "STEP1566-V1-F-HT1"
"311" "STEP1569-F-V1-HT1" "STEP1569-V1-F-HT1"
"312" "STEP2143-F-V1-L-HT1" "STEP2143-V1-F-L-HT1"
"313" "STEP1444-F-V1-HT1" "STEP1444-V1-F-HT1"
"314" "STEP1455-F-V1-HT1" "STEP1455-V1-F-HT1"
"315" "STEP1778-F-V1-HT1" "STEP1778-V1-F-HT1"
"317" "STEP1018-F-V1-HT1" "STEP1018-V1-F-HT1"
"318" "STEP2615-F-V1-L-HT1" "STEP2615-V1-F-L-HT1"
"319" "STEP1951-F-V10-HT1" "STEP1951-V10-F-HT1"
"320" "STEP1884-F-V1-HT1-UN" "STEP1884-V1-F-HT1-UN"
"321" "STEP1287-F-V1-HT1" "STEP1287-V1-F-HT1"
"323" "STEP2076-F-V1-L-HT1" "STEP2076-V1-F-L-HT1"
"324" "STEP2558-F-V1-L-HT1" "STEP2558-V1-F-L-HT1"
"325" "STEP2290-F-V1-R-HT1" "STEP2290-V1-F-R-HT1"
"326" "STEP1417-F-V1-HT1" "STEP1417-V1-F-HT1"
"327" "STEP1122-F-V1-HT1" "STEP1122-V1-F-HT1"
"328" "STEP2512-F-V5-L-HT1" "STEP2512-V5-F-L-HT1"
"330" "STEP2444-F-V1-L-HT1" "STEP2444-V1-F-L-HT1"
"331" "STEP1331-F-V1-HT1" "STEP1331-V1-F-HT1"
"332" "STEP2113-F-V1-R-HT1" "STEP2113-V1-F-R-HT1"
